Vibration(mm/s),Temperature(°C),FlowRate(LPM),RPM,Lubrication_Level(%),Pressure(bar),Failure
2.2,55.95,638.98,1440.28,78.14,3.46,0
2.95,50.86,376.04,1351.24,76.68,8.37,0
2.53,59.86,639.2,1535.67,76.37,4.22,0
1.35,47.54,561.9,1302.3,83.35,4.36,0
2.0,47.03,448.32,1512.56,99.64,4.58,0
2.17,57.94,358.73,1563.58,82.26,1.49,0
0.49,45.67,450.84,1747.56,72.12,3.08,0
1.37,47.31,461.21,1736.9,90.69,4.54,0
1.88,54.8,499.23,1445.13,73.99,2.97,0
1.4,50.84,489.39,1247.84,79.72,8.21,0
1.87,43.5,595.73,1782.15,75.4,0.49,0
1.29,45.23,447.11,1217.27,68.09,3.73,0
1.98,55.27,732.47,1472.88,72.07,3.07,0
2.86,47.83,571.63,1363.42,68.85,5.05,0
2.28,59.9,610.13,1521.72,83.11,10.01,0
2.57,42.53,560.78,1360.82,64.71,4.32,0
4.12,62.35,461.37,1363.27,68.87,4.19,0
2.6,61.28,621.21,1680.63,81.06,8.5,0
2.64,49.4,481.49,1438.65,92.15,5.9,0
2.35,52.44,502.88,1365.11,98.11,6.95,0
1.49,44.85,493.16,1268.67,89.31,3.05,0
2.41,49.05,585.7,1660.23,72.86,0.93,0
2.41,23.69,597.85,1392.83,77.14,6.89,0
2.69,53.12,612.77,1284.28,93.53,3.64,0
0.9,66.38,355.9,1125.7,84.48,2.27,0
1.22,56.19,477.84,1337.44,75.79,7.28,0
2.33,50.04,441.42,1688.43,61.1,4.83,0
2.76,53.38,386.6,1453.51,77.37,7.54,0
2.9,49.44,407.09,1601.1,83.74,2.83,0
1.69,46.12,567.87,1559.82,82.94,5.64,0
1.99,48.89,380.91,1284.81,81.82,4.69,0
1.36,43.11,464.18,1361.09,101.17,5.4,0
1.79,64.62,501.22,1245.33,90.97,7.85,0
1.7,52.06,335.86,1419.12,67.87,7.22,0
1.93,39.8,410.64,1422.36,63.77,3.63,0
1.91,51.95,369.54,1083.89,88.16,5.06,0
1.65,54.6,452.34,1487.44,75.65,4.29,0
2.01,51.81,512.59,1312.64,74.74,5.26,0
2.44,42.62,598.39,1392.1,95.41,4.19,0
1.99,53.93,434.03,1485.41,80.31,4.81,0
1.62,48.96,493.67,1693.96,91.31,7.34,0
1.35,57.01,460.05,1535.3,74.37,0.08,0
1.98,59.32,383.79,1581.63,82.28,3.21,0
1.01,33.84,729.19,1251.45,61.08,6.38,0
3.29,57.66,390.29,1488.55,81.46,5.31,0
2.77,52.05,444.77,1548.29,75.89,5.96,0
3.28,54.49,380.33,1310.76,68.28,4.73,0
1.83,47.78,452.34,1316.43,92.72,5.99,0
1.55,55.17,356.92,1441.48,68.72,6.3,0
3.12,59.57,485.05,1593.36,89.66,5.71,0
3.05,41.91,228.74,1779.02,81.65,1.83,0
1.12,58.62,608.3,1223.92,70.38,4.77,0
1.67,58.02,627.86,1642.62,68.69,1.76,0
1.13,65.99,497.69,1537.58,84.92,6.0,0
2.9,47.4,616.71,1497.41,61.17,4.35,0
2.83,42.19,541.68,1393.54,76.08,5.27,0
0.67,46.82,425.12,1499.86,87.64,3.73,0
0.6,57.84,695.29,1250.47,80.75,4.33,0
2.63,31.48,327.08,1837.54,87.78,3.2,0
2.65,35.76,469.46,1447.59,93.34,4.89,0
1.89,71.7,596.42,1463.11,95.41,4.2,0
1.87,46.12,424.4,1551.45,78.97,8.88,0
1.92,52.22,530.19,1489.12,84.12,9.08,0
1.63,48.87,763.79,1291.32,67.92,2.09,0
2.4,64.21,464.22,1600.96,74.78,6.14,0
1.02,39.01,443.03,1428.03,61.52,1.48,0
3.57,46.13,600.66,1443.86,96.29,5.82,0
2.88,61.4,330.57,1355.94,75.2,5.1,0
1.77,50.8,564.23,1194.11,86.56,4.39,0
-0.02,58.6,553.74,1757.81,92.89,6.63,0
1.26,47.76,549.78,1095.27,65.59,6.99,0
3.66,63.11,439.51,1652.85,103.0,6.38,0
2.19,30.88,592.89,1424.61,78.48,4.9,0
1.14,66.79,633.26,1543.8,80.38,3.08,0
2.6,43.02,406.08,1624.75,86.12,4.57,0
1.62,46.94,536.04,1444.35,93.64,3.12,0
2.75,42.88,511.11,1341.48,64.73,5.45,0
1.5,29.93,505.25,1475.3,77.34,2.11,0
1.57,51.13,596.94,1584.37,64.85,5.18,0
0.56,45.54,477.82,1324.39,90.1,5.32,0
2.51,34.62,481.6,1686.12,67.02,4.75,0
3.39,55.72,529.12,1509.39,73.11,4.47,0
2.11,60.54,436.83,1261.99,87.13,6.57,0
1.04,38.11,582.93,1361.61,76.13,11.57,0
1.1,52.97,539.39,1505.55,89.04,2.33,0
0.74,51.89,357.4,1694.52,83.54,3.76,0
2.94,40.49,491.29,1463.89,80.69,2.98,0
1.73,52.79,496.77,1495.95,81.84,6.01,0
2.56,57.5,619.93,1465.27,66.06,4.63,0
1.76,47.63,637.01,1484.61,98.69,3.95,0
2.45,59.62,473.44,1571.45,61.81,2.23,0
1.3,57.6,630.26,1207.12,71.74,7.96,0
2.63,34.88,487.17,1335.68,84.33,5.81,0
3.93,70.93,310.03,1392.37,89.34,2.73,0
1.85,53.64,552.78,1501.81,70.97,2.83,0
1.2,40.33,471.88,1607.22,78.78,4.48,0
1.82,44.02,365.47,1384.56,78.55,5.19,0
1.59,48.99,467.38,1420.29,79.97,5.71,0
2.59,29.78,513.52,1435.6,74.19,4.44,0
1.2,39.2,366.05,1470.38,68.75,10.69,0
2.03,36.41,351.84,1740.38,57.52,8.48,0
1.87,44.76,238.19,1204.54,91.0,3.59,0
2.48,59.29,453.34,1418.59,78.4,5.08,0
1.28,52.91,418.56,1729.61,78.18,4.87,0
3.31,54.94,550.97,1533.53,79.27,1.46,0
1.05,49.4,444.94,1410.11,96.78,1.74,0
2.9,47.08,513.77,1544.46,76.08,6.02,0
1.79,59.73,590.17,1512.86,96.01,-0.16,0
2.65,41.12,477.09,1514.65,65.45,6.57,0
0.76,49.08,549.14,1111.63,75.88,2.5,0
1.14,64.24,647.59,1301.96,70.0,4.63,0
2.54,41.64,371.56,1452.46,95.08,4.92,0
1.94,60.35,431.98,1510.87,47.67,6.99,0
2.83,52.34,536.46,1428.27,70.16,4.3,0
2.5,52.1,319.62,1511.56,74.82,2.34,0
2.24,52.11,490.17,1511.7,83.37,4.14,0
2.26,60.75,543.95,1341.93,64.3,6.96,0
3.16,49.42,518.2,1191.66,68.92,3.72,0
1.64,54.93,456.23,1516.88,57.09,5.24,0
1.88,71.96,530.65,1529.12,65.22,5.02,0
1.59,51.64,491.77,1634.57,75.65,5.74,0
1.02,34.57,633.7,1452.74,72.92,4.55,0
2.2,57.03,559.91,1628.57,88.08,7.55,0
1.52,34.02,296.38,1682.69,91.21,7.87,0
1.77,55.89,443.92,1663.69,87.99,3.81,0
1.52,45.71,405.96,1266.52,83.85,3.89,0
2.3,47.33,341.78,1523.71,73.13,5.56,0
1.08,35.76,495.26,1640.29,70.18,4.26,0
2.09,65.33,502.73,1411.29,88.6,4.44,0
1.56,27.88,434.61,1609.81,76.75,2.77,0
0.86,63.73,602.51,1244.5,96.64,5.74,0
2.05,48.2,694.83,1515.79,87.96,1.85,0
1.82,46.43,519.19,1268.48,66.01,4.87,0
3.17,48.1,594.12,1634.09,103.06,3.02,0
1.27,70.24,293.66,1440.03,80.68,4.99,0
2.25,51.85,550.33,1627.28,96.48,5.4,0
1.19,33.92,333.89,1599.59,76.44,5.19,0
0.16,56.99,550.43,1481.27,80.71,5.34,0
2.14,40.26,483.17,1407.44,72.59,3.27,0
2.04,36.34,373.05,1553.92,63.69,5.78,0
1.01,40.15,430.17,1554.06,83.9,0.96,0
2.08,39.45,381.8,1225.42,64.28,6.93,0
1.54,34.73,399.57,1303.3,82.17,2.35,0
1.72,62.07,349.35,1448.2,99.94,7.27,0
2.47,47.92,438.09,1424.98,93.49,4.98,0
2.54,35.16,390.16,1482.81,88.79,6.89,0
2.02,45.7,597.02,1537.26,95.78,3.75,0
2.35,55.09,472.72,1381.15,92.37,3.56,0
2.57,65.09,274.72,1073.66,87.95,2.04,0
1.06,45.42,423.4,1236.8,49.81,7.69,0
2.44,52.03,410.2,1620.67,89.33,4.92,0
2.02,42.21,578.41,1541.99,95.56,5.89,0
2.17,45.83,383.05,1359.95,80.66,5.92,0
1.34,51.11,639.03,1188.29,64.23,9.31,0
2.12,40.3,568.32,1297.6,87.79,4.64,0
1.67,39.1,612.48,1480.3,80.95,2.67,0
1.44,52.44,589.84,1414.96,71.68,3.31,0
0.58,55.71,350.08,1619.33,88.05,5.72,0
1.98,19.92,301.8,1354.86,74.7,5.79,0
1.59,34.34,345.51,1643.27,81.78,3.8,0
2.31,60.97,714.58,1310.89,91.03,2.97,0
2.85,26.13,292.29,1385.15,65.23,5.99,0
2.4,25.74,573.45,1521.94,70.8,7.74,0
2.38,62.84,364.62,1485.67,71.27,4.68,0
1.22,52.64,396.2,1537.69,79.4,3.66,0
2.65,53.96,778.0,1450.46,87.8,6.88,0
1.61,49.37,427.9,1539.03,73.99,2.8,0
2.9,43.74,678.73,1291.7,71.5,5.07,0
2.99,42.84,627.27,1324.27,89.15,2.06,0
3.44,73.49,456.77,1607.23,88.52,5.33,0
2.15,53.59,507.57,1404.16,79.92,5.96,0
-0.42,45.21,503.18,1244.14,86.78,3.91,0
0.95,44.15,483.49,1410.53,62.85,6.28,0
2.22,44.91,488.63,1382.25,82.45,3.55,0
1.01,46.57,495.49,1609.63,68.21,7.53,0
2.51,68.13,513.9,1183.02,86.73,2.74,0
0.4,53.07,455.52,1631.35,71.13,6.1,0
1.79,49.91,569.09,1530.32,94.34,5.19,0
2.66,48.25,488.54,1301.87,71.49,6.11,0
1.25,40.34,471.14,1366.71,63.35,6.45,0
1.38,45.16,455.67,1433.03,76.12,5.34,0
1.39,48.39,364.18,1304.34,82.35,4.39,0
1.53,55.2,626.8,1738.94,72.94,5.58,0
0.84,44.1,463.43,1589.2,80.26,2.95,0
2.48,58.92,418.6,1556.44,60.22,0.73,0
2.0,31.58,533.01,1389.82,78.07,5.61,0
1.64,49.22,356.62,1624.45,82.01,6.69,0
1.89,64.53,588.01,1435.91,94.94,6.66,0
2.96,46.53,371.44,1772.24,87.49,6.64,0
2.49,64.35,511.68,1397.13,80.46,0.57,0
1.75,38.21,580.93,1477.19,64.82,2.36,0
1.51,34.37,409.72,1591.44,77.55,2.45,0
2.07,43.89,340.99,1529.05,65.69,5.46,0
2.99,63.56,499.62,1338.65,101.16,5.23,0
3.14,52.77,584.25,1384.74,78.17,5.99,0
1.89,54.2,357.78,1626.83,71.06,5.31,0
0.05,68.69,497.56,1462.19,80.32,5.65,0
2.23,44.82,659.14,1472.32,92.47,5.95,0
2.21,36.27,543.95,1459.12,85.88,4.62,0
2.31,49.94,448.48,1347.42,75.79,6.07,0
2.68,26.08,705.78,1401.88,74.42,8.28,0
2.21,53.24,590.65,1499.81,85.21,5.02,0
2.7,45.18,506.45,1704.64,101.49,5.45,0
1.62,68.57,535.77,1545.78,93.78,6.44,0
1.34,55.58,609.85,1556.49,69.23,1.38,0
0.92,50.45,482.83,1639.95,86.85,2.66,0
1.76,31.41,627.44,1657.48,79.11,4.08,0
1.47,57.98,611.89,1522.01,90.69,3.44,0
2.66,47.44,474.11,1317.71,74.89,7.38,0
2.12,38.74,457.32,1383.14,74.95,2.76,0
1.74,41.43,417.91,1601.56,92.11,1.85,0
2.0,54.94,475.37,1401.41,63.62,8.63,0
1.72,50.98,284.63,1724.88,78.26,3.94,0
1.71,44.72,530.64,1368.36,74.78,2.91,0
1.81,47.97,553.78,1520.09,80.99,7.96,0
2.67,61.82,543.49,1489.56,78.45,8.05,0
1.6,54.88,504.09,1699.7,83.86,5.84,0
1.2,38.24,420.29,1544.15,80.15,4.42,0
1.98,61.72,443.09,1446.22,67.26,4.42,0
3.04,43.3,659.04,1612.68,82.39,5.52,0
1.51,51.83,539.29,1380.24,70.35,4.68,0
0.3,49.55,699.14,1233.03,98.88,3.07,0
1.91,52.69,662.33,1339.88,70.23,9.37,0
2.91,38.16,548.63,1501.95,84.46,4.9,0
1.19,46.02,523.99,1207.42,90.86,1.41,0
3.05,48.76,562.31,1540.62,95.75,4.38,0
1.76,32.07,436.14,1431.63,77.29,3.99,0
2.27,37.36,544.7,1220.46,81.03,4.15,0
1.69,60.36,400.17,1374.34,74.33,5.63,0
2.16,41.44,568.59,1492.18,71.2,6.1,0
2.26,54.2,500.08,1537.75,66.08,7.82,0
2.46,40.06,597.57,1409.05,70.01,4.61,0
4.07,58.11,440.78,1492.18,72.49,4.78,0
2.95,56.55,533.8,1422.68,74.13,5.64,0
2.79,30.31,622.39,1308.03,80.09,2.61,0
1.85,50.35,585.11,1581.85,79.06,3.42,0
2.34,55.14,512.59,1582.79,83.14,8.92,0
1.15,41.07,636.81,1399.98,81.21,3.29,0
2.36,51.59,362.45,1447.9,82.33,2.12,0
1.94,37.83,503.49,1512.81,90.42,3.74,0
3.13,34.0,710.53,1272.97,79.38,3.71,0
2.02,36.11,418.75,1621.04,83.46,5.59,0
1.15,39.84,705.38,1451.58,91.9,6.35,0
2.23,48.5,614.01,1337.02,85.16,4.98,0
1.81,42.72,511.66,1251.06,73.27,7.34,0
2.33,46.28,468.22,1458.08,86.17,4.72,0
2.89,47.84,472.49,1471.0,70.32,3.04,0
2.51,49.93,749.22,1449.73,73.49,3.48,0
2.39,42.11,539.92,1494.57,59.98,2.96,0
2.14,48.05,596.39,1412.11,68.73,2.68,0
2.41,42.76,485.27,1563.55,74.72,4.63,0
1.46,55.91,519.43,1679.25,96.24,6.49,0
3.55,48.49,413.87,1618.18,79.33,3.91,0
2.1,46.34,547.9,1379.39,82.0,5.21,0
0.92,38.93,609.42,1332.38,78.5,2.13,0
2.7,62.96,519.96,1489.38,98.96,2.82,0
2.47,44.75,494.13,1368.49,72.25,6.4,0
1.79,35.67,416.29,1432.96,90.65,6.87,0
1.24,48.36,487.69,1297.88,81.18,5.62,0
1.63,60.91,467.88,1711.88,81.39,5.59,0
2.95,58.28,583.72,1898.92,66.86,4.73,0
1.06,66.09,478.58,1184.78,81.82,2.88,0
2.26,36.28,445.2,1446.7,77.25,7.11,0
1.28,59.79,405.79,1568.61,90.37,3.16,0
1.98,42.9,436.91,1581.67,85.99,4.73,0
2.32,43.86,388.59,1428.74,82.52,4.53,0
1.65,46.9,382.97,1335.71,100.6,1.44,0
2.8,40.32,546.8,1515.39,91.33,6.07,0
3.22,53.8,378.26,1294.61,63.31,4.19,0
2.97,62.38,615.26,1477.31,92.23,4.56,0
1.74,46.02,517.15,1392.1,89.15,7.75,0
3.29,40.3,586.35,1588.94,73.46,5.7,0
1.26,35.77,551.88,1222.02,88.11,5.31,0
0.71,45.42,342.88,1461.86,88.96,5.35,0
1.19,30.31,410.65,1473.1,81.46,4.68,0
0.11,43.08,476.51,1139.15,65.1,3.61,0
2.72,45.52,540.61,1330.77,68.96,3.45,0
1.14,44.14,550.57,1592.13,89.55,7.46,0
2.07,35.26,409.86,1395.63,71.81,4.8,0
1.34,64.29,667.13,1455.15,74.67,3.91,0
2.14,28.23,482.39,1624.66,73.37,4.34,0
2.55,48.18,461.2,1463.55,89.25,4.85,0
2.05,51.68,606.01,1599.35,84.3,4.28,0
2.92,55.21,247.77,1472.59,78.01,9.75,0
2.16,42.85,492.98,1465.79,93.16,4.85,0
1.35,36.52,609.18,1301.27,85.21,6.55,0
1.41,46.29,503.75,1477.45,91.87,5.91,0
2.93,48.41,608.15,1406.78,52.6,1.35,0
3.65,70.42,312.66,1620.43,78.15,4.67,0
1.97,48.78,600.67,1519.97,70.35,5.12,0
2.37,57.93,545.1,1369.3,60.87,3.31,0
0.91,51.45,347.97,1376.63,78.88,3.09,0
2.23,29.82,360.09,1386.45,86.69,6.08,0
1.0,41.72,571.55,1273.39,84.03,4.61,0
2.64,58.58,477.23,1287.94,76.89,5.59,0
1.58,26.84,464.92,1462.58,73.11,6.34,0
2.41,60.7,416.58,1343.99,64.92,6.17,0
2.05,54.97,426.26,1355.62,95.16,4.5,0
1.77,55.83,667.23,1568.36,91.97,1.63,0
2.71,32.14,349.95,1591.89,80.55,4.01,0
0.06,33.62,567.23,1233.71,84.89,6.04,0
1.98,59.96,259.63,1419.65,82.92,8.08,0
3.19,48.19,418.26,1437.43,92.91,3.89,0
2.92,49.14,723.15,1474.97,79.67,4.66,0
1.68,46.74,585.81,1426.04,85.71,4.5,0
1.73,50.08,553.09,1316.67,72.39,3.45,0
2.82,47.59,580.96,1259.65,89.4,5.66,0
1.49,52.57,428.34,1186.47,99.69,1.78,0
2.39,55.86,513.66,1305.49,76.33,7.7,0
2.68,63.03,350.52,1512.22,85.05,4.45,0
3.02,41.15,616.59,1572.81,78.75,5.17,0
1.64,53.16,439.89,1444.25,75.73,3.57,0
2.86,44.49,583.36,1152.87,84.01,3.78,0
3.5,54.64,549.29,1276.39,87.64,4.36,0
1.47,38.28,345.56,1168.77,78.44,6.73,0
2.74,39.57,500.11,1377.91,85.91,2.56,0
0.85,46.73,577.14,1348.15,88.95,1.92,0
2.09,48.5,367.91,1090.59,80.4,3.09,0
2.54,53.2,607.15,1533.61,88.88,4.99,0
1.66,29.24,624.46,1515.33,75.64,7.57,0
1.4,37.72,341.94,1624.39,77.38,5.35,0
4.55,54.72,544.17,1845.5,66.48,4.69,0
1.86,32.29,667.34,1456.28,80.49,8.02,0
2.71,42.18,510.29,1434.48,85.28,5.48,0
1.8,44.47,540.33,1371.85,80.06,1.27,0
2.26,56.65,618.1,1516.05,87.99,3.33,0
2.1,40.25,567.24,1152.3,66.68,6.72,0
1.24,50.18,413.93,1485.27,74.8,5.21,0
1.61,52.26,324.76,1231.19,96.22,0.45,0
1.36,58.23,508.2,1566.64,85.16,6.37,0
1.48,41.87,564.41,1370.66,75.21,4.6,0
3.1,49.89,516.13,1620.72,73.54,6.38,0
2.02,52.77,564.59,1503.86,64.94,2.34,0
0.79,57.69,521.04,1008.53,74.17,4.31,0
1.89,63.63,451.57,1668.08,67.33,4.03,0
1.21,39.5,595.58,1604.9,96.78,5.48,0
1.83,55.68,504.38,1421.92,75.7,5.8,0
1.42,64.47,442.88,1506.59,106.32,6.12,0
1.29,51.92,385.28,1604.12,75.09,5.98,0
2.72,50.87,503.48,1778.56,91.86,8.11,0
3.29,53.48,686.86,1570.74,89.16,1.94,0
2.12,38.98,445.26,1781.6,72.07,8.34,0
1.61,46.03,530.2,1436.74,84.56,5.44,0
2.72,62.91,354.49,1164.06,77.74,5.62,0
0.74,70.15,418.38,1354.96,76.6,0.9,0
2.21,53.11,617.18,1472.75,87.74,5.58,0
0.73,53.63,422.19,1591.66,81.97,5.73,0
0.56,43.92,653.03,1299.39,84.87,6.72,0
2.06,66.41,495.41,1378.01,70.1,4.94,0
1.95,68.9,514.78,1656.17,74.58,4.75,0
3.52,42.68,488.55,1402.5,76.82,7.5,0
1.36,47.6,416.3,1567.22,76.51,6.51,0
1.74,49.07,582.24,1818.98,64.83,5.04,0
2.17,44.19,479.3,1281.42,82.51,7.93,0
2.54,55.71,412.7,1391.71,79.52,10.94,0
1.87,71.84,548.06,1370.18,83.16,3.35,0
2.09,41.66,373.47,1608.67,90.28,7.81,0
0.5,55.15,604.1,1228.5,75.78,2.67,0
3.07,37.21,427.33,1568.91,67.5,6.01,0
2.26,47.2,553.42,1337.39,91.06,1.79,0
1.4,54.28,413.92,1289.84,74.98,5.54,0
1.75,55.38,733.78,1575.47,79.6,7.84,0
0.83,59.13,606.29,1420.68,85.07,5.12,0
1.83,53.61,343.54,1376.06,83.93,4.28,0
1.8,56.96,378.98,1247.07,80.87,6.3,0
2.8,49.21,533.75,1604.71,72.94,5.32,0
1.05,40.15,461.85,1472.52,69.12,8.02,0
3.42,35.94,513.25,1621.51,80.85,2.27,0
1.48,50.23,411.6,1417.72,69.92,7.72,0
2.34,56.33,543.84,1431.26,72.26,7.77,0
2.78,45.12,483.8,1458.48,70.14,1.41,0
1.31,43.7,484.6,1413.49,89.62,4.09,0
3.01,22.96,613.59,1425.99,77.58,7.39,0
1.18,55.93,438.82,1699.44,80.72,8.22,0
2.13,36.33,657.94,1459.87,85.69,5.62,0
2.07,54.73,346.75,1696.21,86.12,7.1,0
1.56,50.18,374.88,1721.14,66.62,4.53,0
0.49,49.69,587.15,1251.41,77.54,4.6,0
2.07,45.88,410.46,1117.63,70.46,3.6,0
1.97,66.43,509.24,1326.21,99.01,6.09,0
1.09,29.22,484.15,1421.84,70.06,7.07,0
2.29,50.28,544.85,1565.37,68.26,7.77,0
2.23,57.51,412.93,1322.35,70.47,3.07,0
2.19,45.29,411.63,1854.75,80.93,4.79,0
2.57,33.11,689.22,1314.6,85.24,8.86,0
2.02,42.25,525.76,1410.24,89.49,2.13,0
1.92,69.23,352.24,1353.83,92.24,5.44,0
3.13,44.52,462.82,1736.74,91.58,4.33,0
1.13,55.53,506.36,1236.37,71.81,4.76,0
2.35,29.18,477.99,1569.71,72.91,5.86,0
2.13,52.43,559.07,1574.72,77.32,0.33,0
1.48,38.77,568.33,1470.83,71.54,4.91,0
1.82,81.52,498.34,1341.76,73.13,3.57,0
2.87,55.36,458.36,1383.0,86.46,6.31,0
2.15,55.86,586.72,1413.01,98.12,4.37,0
2.78,63.25,416.43,1385.1,67.71,4.54,0
2.93,40.57,738.8,1517.42,81.0,4.47,0
1.86,48.7,572.24,1595.04,89.5,3.55,0
1.92,44.44,504.93,1202.16,103.49,3.28,0
3.37,53.8,559.81,1250.1,78.53,3.53,0
2.76,54.29,764.2,1416.89,78.28,2.76,0
1.15,57.11,602.56,1142.88,87.91,5.65,0
1.16,63.93,507.45,1672.82,89.61,6.41,0
0.71,60.02,650.03,1485.98,85.75,1.93,0
2.64,46.07,534.12,1374.0,81.43,3.59,0
1.76,30.92,585.44,1303.26,74.35,7.18,0
1.72,55.83,602.0,1546.23,77.76,3.89,0
3.47,58.5,413.9,1501.47,97.65,5.04,0
2.8,42.63,450.26,1560.27,85.79,7.32,0
1.25,49.36,510.96,1390.23,70.55,3.46,0
2.49,41.1,464.39,1329.78,67.57,3.89,0
1.79,51.76,621.85,1635.52,72.69,3.95,0
2.41,53.02,595.41,874.5,80.87,5.01,0
1.65,48.04,581.73,1461.95,81.22,4.82,0
2.57,34.67,582.02,1780.97,76.39,6.78,0
2.15,52.43,330.5,1761.6,60.09,9.21,0
2.27,59.5,586.25,1546.55,85.0,5.97,0
1.93,61.92,506.93,1599.73,105.73,4.88,0
1.57,42.61,357.32,1466.15,86.94,4.69,0
2.68,35.23,410.93,1463.67,71.4,6.68,0
2.89,36.1,336.61,1540.61,81.41,3.44,0
1.22,59.96,441.29,1591.99,77.85,6.1,0
1.89,51.4,303.44,1552.35,87.81,1.95,0
1.86,54.62,345.22,1390.03,72.5,4.3,0
0.8,44.03,386.66,1421.62,80.13,4.81,0
1.93,62.3,523.06,1707.75,83.98,4.22,0
0.87,53.79,441.21,1372.2,90.56,5.7,0
1.45,42.27,428.19,1490.32,80.09,2.72,0
1.66,46.51,523.3,1401.52,88.55,2.51,0
1.97,36.67,508.75,1484.36,82.17,4.9,0
1.51,62.5,385.67,1618.25,92.72,8.12,0
1.41,50.6,507.22,1467.24,80.04,6.52,0
2.16,57.61,412.88,1296.22,74.72,1.68,0
1.5,58.88,483.73,1167.96,69.29,5.64,0
3.36,65.28,509.35,1291.58,81.78,5.53,0
2.03,56.72,574.54,1388.6,80.03,2.86,0
2.44,51.72,495.97,1551.48,81.94,4.05,0
2.1,38.21,526.43,1956.61,91.55,1.66,0
3.19,34.02,580.91,1481.68,89.17,6.66,0
3.74,59.6,468.96,1453.0,81.21,6.07,0
1.33,46.64,466.7,1247.56,90.45,4.13,0
0.72,33.88,513.4,1650.79,80.14,4.83,0
2.06,46.54,622.13,1423.92,91.98,4.17,0
2.59,52.24,532.02,1448.45,79.21,4.53,0
3.31,68.56,654.86,1481.92,79.37,4.82,0
3.29,59.5,366.34,1692.38,77.28,2.76,0
1.89,49.13,372.16,1587.11,75.3,5.02,0
3.1,49.08,422.92,1568.24,71.41,2.01,0
2.41,35.01,670.73,1608.42,87.17,4.13,0
0.54,41.55,545.28,1363.15,76.41,6.21,0
1.48,60.09,518.5,1143.31,90.9,6.05,0
2.54,52.19,349.14,1172.76,92.17,1.82,0
-0.16,35.85,557.65,1450.96,55.09,6.02,0
2.45,40.52,498.59,1349.24,76.09,0.65,0
0.94,48.17,541.77,1668.32,77.01,6.59,0
1.81,52.6,558.79,1591.88,89.95,3.3,0
1.96,55.82,381.37,1594.35,82.32,2.85,0
2.22,43.03,586.88,1538.21,86.59,4.75,0
1.34,56.26,394.94,1441.31,84.17,2.74,0
2.04,55.52,592.35,1446.63,74.84,4.02,0
2.42,55.35,510.74,1361.35,86.79,3.49,0
2.24,58.88,538.74,1516.01,72.9,9.47,0
1.31,37.67,579.8,1763.66,75.2,2.74,0
1.53,58.48,508.45,1239.64,77.52,4.51,0
1.61,36.33,524.12,1366.75,62.95,3.9,0
2.2,46.79,532.32,1214.78,58.85,3.61,0
1.54,39.91,308.87,1355.37,77.05,4.69,0
2.28,67.95,628.38,1518.58,75.76,7.05,0
1.46,52.3,629.5,1390.99,80.63,6.69,0
0.88,55.97,415.43,1408.47,82.49,3.55,0
2.19,54.98,554.42,1335.64,77.24,5.63,0
2.23,56.66,584.58,1335.95,68.41,3.66,0
2.74,38.24,484.17,1252.68,79.98,5.44,0
1.43,54.22,551.41,1390.96,61.84,4.7,0
0.89,55.53,472.05,1157.26,87.96,4.11,0
1.3,51.72,562.76,1684.04,73.89,4.4,0
1.85,58.9,412.56,1600.34,90.5,4.06,0
3.49,58.39,453.88,1507.36,74.86,0.69,0
2.43,58.55,475.22,1453.66,74.69,2.54,0
2.04,34.64,447.05,1653.02,70.01,6.35,0
1.54,63.29,485.85,1458.28,75.42,6.03,0
2.81,56.22,513.07,1643.57,69.73,11.76,0
1.02,34.97,566.21,1416.21,78.29,6.32,0
1.69,36.88,594.88,1321.91,74.67,3.55,0
2.18,60.52,618.86,1093.24,72.65,2.77,0
1.48,53.34,618.16,1403.64,91.05,2.15,0
1.03,48.66,514.89,1559.81,68.49,7.2,0
1.95,49.61,553.1,1580.92,86.31,6.02,0
0.67,47.56,754.9,1454.83,80.45,5.68,0
2.51,39.83,237.52,1493.71,69.01,5.7,0
1.28,56.12,547.94,1666.55,83.42,4.08,0
2.21,57.57,443.82,1651.99,82.73,3.41,0
1.31,60.31,419.61,1624.61,82.74,8.67,0
0.7,54.69,282.18,1691.19,67.46,5.27,0
0.56,53.16,553.1,1566.54,79.36,6.83,0
1.39,53.35,616.64,1556.12,89.39,5.92,0
0.71,46.16,584.31,1504.81,91.84,6.38,0
1.47,46.71,568.56,1557.21,86.71,5.29,0
0.66,56.79,419.36,1567.78,74.59,5.76,0
2.15,52.5,616.28,1444.13,68.35,4.31,0
2.6,47.37,434.63,1509.81,91.91,3.41,0
2.08,50.95,635.09,1449.23,93.98,4.86,0
2.63,81.1,384.36,1142.57,82.25,7.42,0
1.01,56.07,585.01,1506.03,86.29,3.71,0
1.91,42.66,497.58,1666.98,67.37,-0.46,0
1.82,41.39,469.44,1612.47,76.57,7.73,0
1.91,54.1,775.52,1180.87,70.09,5.63,0
2.17,64.1,402.15,1594.05,93.78,2.27,0
1.44,50.84,330.93,1645.0,87.33,4.9,0
2.22,58.9,585.67,1368.24,83.13,3.06,0
2.03,57.89,529.16,1594.72,90.22,3.85,0
2.66,55.75,667.74,1722.51,80.66,5.5,0
2.01,55.01,419.48,1259.61,77.32,6.5,0
1.04,64.56,182.33,1254.83,75.0,2.87,0
1.56,54.57,390.47,1385.55,81.07,4.08,0
1.17,50.82,620.25,1381.02,67.7,5.01,0
